InterruptManagerForKernel	0xca04a2b9	sceKernelRegisterSubIntrHandler
InterruptManagerForKernel	0xcd36eb65	sceKernelGetUserIntrStack
InterruptManagerForKernel	0xcdc86b64	sceKernelCallSubIntrHandler
InterruptManagerForKernel	0xd2e8363f	QueryIntrHandlerInfo
InterruptManagerForKernel	0xd61e6961	sceKernelReleaseSubIntrHandler
InterruptManagerForKernel	0xd6878eb6	sceKernelGetUserIntrStack
InterruptManagerForKernel	0xd774ba45	sceKernelDisableIntr
InterruptManagerForKernel	0xdb14cbe0	sceKernelResumeIntr
InterruptManagerForKernel	0xdb9a5496	ReleaseContextHooks
InterruptManagerForKernel	0xdbd52a5d	RegisterSubIntrruptMonitor
InterruptManagerForKernel	0xe6fb16e3	_sceKernelGetCpuClockCounterLow
InterruptManagerForKernel	0xe790eaed	RegisterContextHooks
InterruptManagerForKernel	0xe9e652a9	_sceKernelGetCpuClockCounterHigh
InterruptManagerForKernel	0xf153b371	sceKernelQuerySystemCall
InterruptManagerForKernel	0xf2f1e983	sceKernelIsInterruptOccurred
InterruptManagerForKernel	0xf4454e44	sceKernelCallUserIntrHandler
InterruptManagerForKernel	0xf4d443f3	sceKernelRegisterSystemCallTable
InterruptManagerForKernel	0xf987b1f0	sceKernelReleaseIntrHandler
InterruptManagerForKernel	0xf9e06df1	sceKernelGetCpuClockCounterWide
InterruptManagerForKernel	0xfb8e22ec	sceKernelEnableSubIntr
InterruptManagerForKernel	0xfc4374b8	sceKernelIsSubInterruptOccurred
InterruptManagerForKernel	0xfd6b9cab	InterruptManagerForKernel_FD6B9CAB
InterruptManagerForKernel	0xfe28c6d9	sceKernelIsIntrContext
InterruptManagerForKernel	0xffa8b183	sceKernelRegisterSubIntrHandler
IoFileMgrForKernel	0x06a70004	sceIoMkdir
IoFileMgrForKernel	0x08bd7374	sceIoGetDevType
IoFileMgrForKernel	0x0facab19	sceIoWriteAsync
IoFileMgrForKernel	0x109f50bc	sceIoOpen
IoFileMgrForKernel	0x1117c65f	sceIoRmdir
IoFileMgrForKernel	0x1b385d8f	sceIoLseek32Async
IoFileMgrForKernel	0x27eb27b8	sceIoLseek
IoFileMgrForKernel	0x3251ea56	sceIoPollAsync
IoFileMgrForKernel	0x35dbd746	sceIoWaitAsyncCB
IoFileMgrForKernel	0x3c54e908	sceIoReopen
IoFileMgrForKernel	0x411106ba	sceIoGetThreadCwd
